CLKs     PC       IR           PCerr  Werr      LED          RegW  RDin         MemW  MDin
0000     0000     201d07d0     00     00000     00000000     1     000007d0     0     00000000
0001     0004     20100001     00     00000     00000000     1     00000001     0     00000000
0002     0008     00109fc0     00     00000     00000000     1     80000000     0     00000000
0003     00ac     afa20000     00     00000     00000000     0     00000000     1     00000000
0004     00b0     23bd0004     00     00000     00000000     1     000007d4     0     00000000
0005     00b4     afa40000     00     00000     00000000     0     00000000     1     00000000
0006     00b8     23bd0004     00     00000     00000000     1     000007d8     0     00000000
0007     00bc     afb00000     00     00000     00000000     0     00000000     1     00000001
0008     00c0     23bd0004     00     00000     00000000     1     000007dc     0     00000000
0009     00c4     afb30000     00     00000     00000000     0     00000000     1     80000000
000a     00c8     23bd0004     00     00000     00000000     1     000007e0     0     00000000
000b     00cc     afb40000     00     00000     00000000     0     00000000     1     00000000
000c     00d0     23bd0004     00     00000     00000000     1     000007e4     0     00000000
000d     00d4     afb50000     00     00000     00000000     0     00000000     1     00000000
000e     00d8     23bd0004     00     00000     00000000     1     000007e8     0     00000000
000f     00dc     afb60000     00     00000     00000000     0     00000000     1     00000000
0010     00e0     23bd0004     00     00000     00000000     1     000007ec     0     00000000
0011     00e4     20160001     00     00000     00000000     1     00000001     0     00000000
0012     00e8     20140003     00     00000     00000000     1     00000003     0     00000000
0013     00ec     20150001     00     00000     00000000     1     00000001     0     00000000
0014     00f0     00168020     00     00000     00000000     1     00000001     0     00000000
0015     00f4     00108100     00     00000     00000000     1     00000010     0     00000000
0016     00f8     02149825     00     00000     00000000     1     00000013     0     00000000
0017     00fc     00132020     00     00000     00000000     1     00000013     0     00000000
0018     0100     20020022     00     00000     00000000     1     00000022     0     00000000
0019     0104     0000000c     00     00000     00000000     0     00000000     0     00000000
001a     0108     1600fffa     00     00000     00000013     0     00000000     0     00000000
001b     00f4     00108100     00     00000     00000013     1     00000100     0     00000000
001c     00f8     02149825     00     00000     00000013     1     00000103     0     00000000
001d     00fc     00132020     00     00000     00000013     1     00000103     0     00000000
001e     0100     20020022     00     00000     00000013     1     00000022     0     00000000
001f     0104     0000000c     00     00000     00000013     0     00000000     0     00000000
0020     0108     1600fffa     00     00000     00000103     0     00000000     0     00000000
0021     00f4     00108100     00     00000     00000103     1     00001000     0     00000000
0022     00f8     02149825     00     00000     00000103     1     00001003     0     00000000
0023     00fc     00132020     00     00000     00000103     1     00001003     0     00000000
0024     0100     20020022     00     00000     00000103     1     00000022     0     00000000
0025     0104     0000000c     00     00000     00000103     0     00000000     0     00000000
0026     0108     1600fffa     00     00000     00001003     0     00000000     0     00000000
0027     00f4     00108100     00     00000     00001003     1     00010000     0     00000000
0028     00f8     02149825     00     00000     00001003     1     00010003     0     00000000
0029     00fc     00132020     00     00000     00001003     1     00010003     0     00000000
002a     0100     20020022     00     00000     00001003     1     00000022     0     00000000
002b     0104     0000000c     00     00000     00001003     0     00000000     0     00000000
002c     0108     1600fffa     00     00000     00010003     0     00000000     0     00000000
002d     00f4     00108100     00     00000     00010003     1     00100000     0     00000000
002e     00f8     02149825     00     00000     00010003     1     00100003     0     00000000
002f     00fc     00132020     00     00000     00010003     1     00100003     0     00000000
0030     0100     20020022     00     00000     00010003     1     00000022     0     00000000
0031     0104     0000000c     00     00000     00010003     0     00000000     0     00000000
0032     0108     1600fffa     00     00000     00100003     0     00000000     0     00000000
0033     00f4     00108100     00     00000     00100003     1     01000000     0     00000000
0034     00f8     02149825     00     00000     00100003     1     01000003     0     00000000
0035     00fc     00132020     00     00000     00100003     1     01000003     0     00000000
0036     0100     20020022     00     00000     00100003     1     00000022     0     00000000
0037     0104     0000000c     00     00000     00100003     0     00000000     0     00000000
0038     0108     1600fffa     00     00000     01000003     0     00000000     0     00000000
0039     00f4     00108100     00     00000     01000003     1     10000000     0     00000000
003a     00f8     02149825     00     00000     01000003     1     10000003     0     00000000
003b     00fc     00132020     00     00000     01000003     1     10000003     0     00000000
003c     0100     20020022     00     00000     01000003     1     00000022     0     00000000
003d     0104     0000000c     00     00000     01000003     0     00000000     0     00000000
003e     0108     1600fffa     00     00000     10000003     0     00000000     0     00000000
003f     00f4     00108100     00     00000     10000003     1     00000000     0     00000000
0040     00f8     02149825     00     00000     10000003     1     00000003     0     00000000
0041     00fc     00132020     00     00000     10000003     1     00000003     0     00000000
0042     0100     20020022     00     00000     10000003     1     00000022     0     00000000
0043     0104     0000000c     00     00000     10000003     0     00000000     0     00000000
0044     0108     1600fffa     00     00000     00000003     0     00000000     0     00000000
0045     010c     0295a022     00     00000     00000003     1     00000002     0     00000000
0046     0110     1680fff7     00     00000     00000003     0     00000000     0     00000000
0047     00f0     00168020     00     00000     00000003     1     00000001     0     00000000
0048     00f4     00108100     00     00000     00000003     1     00000010     0     00000000
0049     00f8     02149825     00     00000     00000003     1     00000012     0     00000000
004a     00fc     00132020     00     00000     00000003     1     00000012     0     00000000
004b     0100     20020022     00     00000     00000003     1     00000022     0     00000000
004c     0104     0000000c     00     00000     00000003     0     00000000     0     00000000
004d     0108     1600fffa     00     00000     00000012     0     00000000     0     00000000
004e     00f4     00108100     00     00000     00000012     1     00000100     0     00000000
004f     00f8     02149825     00     00000     00000012     1     00000102     0     00000000
0050     00fc     00132020     00     00000     00000012     1     00000102     0     00000000
0051     0100     20020022     00     00000     00000012     1     00000022     0     00000000
